Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

318,07/12/2017 , 21:30:00,0,0
319,07/12/2017 , 21:45:00,0,0
320,07/12/2017 , 22:00:00,0,0
321,07/12/2017 , 22:15:00,0,0
322,07/12/2017 , 22:30:00,0,0
323,07/12/2017 , 22:45:00,0,0
324,07/12/2017 , 23:00:00,0,0
325,07/12/2017 , 23:15:00,0,0
326,07/12/2017 , 23:30:00,0,0
327,07/12/2017 , 23:45:00,0,0
328,07/12/2017 , 24:00:00,0,0
329,08/12/2017 , 00:15:00,0,0
330,08/12/2017 , 00:30:00,0,0
331,08/12/2017 , 00:45:00,0,0
332,08/12/2017 , 01:00:00,0,0
333,08/12/2017 , 01:15:00,0,0
334,08/12/2017 , 01:30:00,0,0
335,08/12/2017 , 01:45:00,0,0
336,08/12/2017 , 02:00:00,0,0
337,08/12/2017 , 02:15:00,0,0
338,08/12/2017 , 02:30:00,0,0
339,08/12/2017 , 02:45:00,0,0
340,08/12/2017 , 03:00:00,0,0
341,08/12/2017 , 03:15:00,0,0
342,08/12/2017 , 03:30:00,0,0
343,08/12/2017 , 03:45:00,0,0
344,08/12/2017 , 04:00:00,0,0
345,08/12/2017 , 04:15:00,0,0
346,08/12/2017 , 04:30:00,0,0
347,08/12/2017 , 04:45:00,0,0
348,08/12/2017 , 05:00:00,0,0
349,08/12/2017 , 05:15:00,0,0
350,08/12/2017 , 05:30:00,0,0
351,08/12/2017 , 05:45:00,0,0
352,08/12/2017 , 06:00:00,0,0
353,08/12/2017 , 06:15:00,0,0
354,08/12/2017 , 06:30:00,0,0
355,08/12/2017 , 06:45:00,0,0
356,08/12/2017 , 07:00:00,0,0
357,08/12/2017 , 07:15:00,0,0
358,08/12/2017 , 07:30:00,4,4
359,08/12/2017 , 07:45:00,23,23
360,08/12/2017 , 08:00:00,36,36
361,08/12/2017 , 08:15:00,68,68
362,08/12/2017 , 08:30:00,83,83
363,08/12/2017 , 08:45:00,111,111
364,08/12/2017 , 09:00:00,167,167
365,08/12/2017 , 09:15:00,156,156
366,08/12/2017 , 09:30:00,200,200
367,08/12/2017 , 09:45:00,246,246
368,08/12/2017 , 10:00:00,309,309
369,08/12/2017 , 10:15:00,402,402
370,08/12/2017 , 10:30:00,483,483
371,08/12/2017 , 10:45:00,497,497
372,08/12/2017 , 11:00:00,601,601
373,08/12/2017 , 11:15:00,610,610
374,08/12/2017 , 11:30:00,491,491
375,08/12/2017 , 11:45:00,585,585
376,08/12/2017 , 12:00:00,422,422
377,08/12/2017 , 12:15:00,329,329
378,08/12/2017 , 12:30:00,409,409
379,08/12/2017 , 12:45:00,550,550
380,08/12/2017 , 13:00:00,478,478
381,08/12/2017 , 13:15:00,226,226
382,08/12/2017 , 13:30:00,194,194
383,08/12/2017 , 13:45:00,404,404
384,08/12/2017 , 14:00:00,195,195
385,08/12/2017 , 14:15:00,131,131
386,08/12/2017 , 14:30:00,244,244
387,08/12/2017 , 14:45:00,143,143
388,08/12/2017 , 15:00:00,276,276
389,08/12/2017 , 15:15:00,208,208
390,08/12/2017 , 15:30:00,161,161
391,08/12/2017 , 15:45:00,107,107
392,08/12/2017 , 16:00:00,61,61
393,08/12/2017 , 16:15:00,52,52
394,08/12/2017 , 16:30:00,46,46
395,08/12/2017 , 16:45:00,45,45
396,08/12/2017 , 17:00:00,37,37
397,08/12/2017 , 17:15:00,25,25
398,08/12/2017 , 17:30:00,14,14
399,08/12/2017 , 17:45:00,3,3
400,08/12/2017 , 18:00:00,0,0
401,08/12/2017 , 18:15:00,0,0
402,08/12/2017 , 18:30:00,0,0
403,08/12/2017 , 18:45:00,0,0
404,08/12/2017 , 19:00:00,0,0
405,08/12/2017 , 19:15:00,0,0
406,08/12/2017 , 19:30:00,0,0
407,08/12/2017 , 19:45:00,0,0
408,08/12/2017 , 20:00:00,0,0
409,08/12/2017 , 20:15:00,0,0
410,08/12/2017 , 20:30:00,0,0
411,08/12/2017 , 20:45:00,0,0
412,08/12/2017 , 21:00:00,0,0
413,08/12/2017 , 21:15:00,0,0
414,08/12/2017 , 21:30:00,0,0
415,08/12/2017 , 21:45:00,0,0
416,08/12/2017 , 22:00:00,0,0
417,08/12/2017 , 22:15:00,0,0
418,08/12/2017 , 22:30:00,0,0
419,08/12/2017 , 22:45:00,0,0
420,08/12/2017 , 23:00:00,0,0
421,08/12/2017 , 23:15:00,0,0
422,08/12/2017 , 23:30:00,0,0
423,08/12/2017 , 23:45:00,0,0
424,08/12/2017 , 24:00:00,0,0
425,09/12/2017 , 00:15:00,0,0
426,09/12/2017 , 00:30:00,0,0
427,09/12/2017 , 00:45:00,0,0
428,09/12/2017 , 01:00:00,0,0
429,09/12/2017 , 01:15:00,0,0
430,09/12/2017 , 01:30:00,0,0
431,09/12/2017 , 01:45:00,0,0
432,09/12/2017 , 02:00:00,0,0
433,09/12/2017 , 02:15:00,0,0
434,09/12/2017 , 02:30:00,0,0
435,09/12/2017 , 02:45:00,0,0
436,09/12/2017 , 03:00:00,0,0
437,09/12/2017 , 03:15:00,0,0
438,09/12/2017 , 03:30:00,0,0
439,09/12/2017 , 03:45:00,0,0
440,09/12/2017 , 04:00:00,0,0
441,09/12/2017 , 04:15:00,0,0
442,09/12/2017 , 04:30:00,0,0
443,09/12/2017 , 04:45:00,0,0
444,09/12/2017 , 05:00:00,0,0
445,09/12/2017 , 05:15:00,0,0
446,09/12/2017 , 05:30:00,0,0
447,09/12/2017 , 05:45:00,0,0
448,09/12/2017 , 06:00:00,0,0
449,09/12/2017 , 06:15:00,0,0
450,09/12/2017 , 06:30:00,0,0
451,09/12/2017 , 06:45:00,0,0
452,09/12/2017 , 07:00:00,0,0
453,09/12/2017 , 07:15:00,4,4
454,09/12/2017 , 07:30:00,15,15
455,09/12/2017 , 07:45:00,24,24
456,09/12/2017 , 08:00:00,32,32
457,09/12/2017 , 08:15:00,41,41
458,09/12/2017 , 08:30:00,71,71
459,09/12/2017 , 08:45:00,167,167
460,09/12/2017 , 09:00:00,199,199
461,09/12/2017 , 09:15:00,239,239
462,09/12/2017 , 09:30:00,266,266
463,09/12/2017 , 09:45:00,359,359
464,09/12/2017 , 10:00:00,462,462
465,09/12/2017 , 10:15:00,528,528
466,09/12/2017 , 10:30:00,598,598
467,09/12/2017 , 10:45:00,502,502
468,09/12/2017 , 11:00:00,181,181
469,09/12/2017 , 11:15:00,401,401
470,09/12/2017 , 11:30:00,500,500
471,09/12/2017 , 11:45:00,541,541
472,09/12/2017 , 12:00:00,625,625
473,09/12/2017 , 12:15:00,618,618
474,09/12/2017 , 12:30:00,526,526
475,09/12/2017 , 12:45:00,486,486
476,09/12/2017 , 13:00:00,318,318
477,09/12/2017 , 13:15:00,396,396
478,09/12/2017 , 13:30:00,226,226
479,09/12/2017 , 13:45:00,256,256
480,09/12/2017 , 14:00:00,243,243
481,09/12/2017 , 14:15:00,179,179
482,09/12/2017 , 14:30:00,179,179
483,09/12/2017 , 14:45:00,248,248
484,09/12/2017 , 15:00:00,161,161
485,09/12/2017 , 15:15:00,290,290
486,09/12/2017 , 15:30:00,294,294
487,09/12/2017 , 15:45:00,246,246
488,09/12/2017 , 16:00:00,155,155
489,09/12/2017 , 16:15:00,179,179
490,09/12/2017 , 16:30:00,45,45
491,09/12/2017 , 16:45:00,34,34
492,09/12/2017 , 17:00:00,34,34
493,09/12/2017 , 17:15:00,26,26
494,09/12/2017 , 17:30:00,6,6
