Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
403,8/12/17, 18:45:00,0,0
404,8/12/17, 19:00:00,0,0
405,8/12/17, 19:15:00,0,0
406,8/12/17, 19:30:00,0,0
407,8/12/17, 19:45:00,0,0
408,8/12/17, 20:00:00,0,0
409,8/12/17, 20:15:00,0,0
410,8/12/17, 20:30:00,0,0
411,8/12/17, 20:45:00,0,0
412,8/12/17, 21:00:00,0,0
413,8/12/17, 21:15:00,0,0
414,8/12/17, 21:30:00,0,0
415,8/12/17, 21:45:00,0,0
416,8/12/17, 22:00:00,0,0
417,8/12/17, 22:15:00,0,0
418,8/12/17, 22:30:00,0,0
419,8/12/17, 22:45:00,0,0
420,8/12/17, 23:00:00,0,0
421,8/12/17, 23:15:00,0,0
422,8/12/17, 23:30:00,0,0
423,8/12/17, 23:45:00,0,0
424,8/12/17, 24:00:00,0,0
425,9/12/17, 00:15:00,0,0
426,9/12/17, 00:30:00,0,0
427,9/12/17, 00:45:00,0,0
428,9/12/17, 01:00:00,0,0
429,9/12/17, 01:15:00,0,0
430,9/12/17, 01:30:00,0,0
431,9/12/17, 01:45:00,0,0
432,9/12/17, 02:00:00,0,0
433,9/12/17, 02:15:00,0,0
434,9/12/17, 02:30:00,0,0
435,9/12/17, 02:45:00,0,0
436,9/12/17, 03:00:00,0,0
437,9/12/17, 03:15:00,0,0
438,9/12/17, 03:30:00,0,0
439,9/12/17, 03:45:00,0,0
440,9/12/17, 04:00:00,0,0
441,9/12/17, 04:15:00,0,0
442,9/12/17, 04:30:00,0,0
443,9/12/17, 04:45:00,0,0
444,9/12/17, 05:00:00,0,0
445,9/12/17, 05:15:00,0,0
446,9/12/17, 05:30:00,0,0
447,9/12/17, 05:45:00,0,0
448,9/12/17, 06:00:00,0,0
449,9/12/17, 06:15:00,0,0
